Ligand_id,Classification,Count_general,Count_diff,Ligand_name
BOG,RECOMBINATION ACTIVATOR,275,31,octyl beta-D-glucopyranoside
BOG,TOXIN,275,31,octyl beta-D-glucopyranoside
BOG,GENE REGULATION,275,31,octyl beta-D-glucopyranoside
BOG,SIGNALING PROTEIN,275,31,octyl beta-D-glucopyranoside
BOG,ION CHANNEL,275,31,octyl beta-D-glucopyranoside
BOG,PHOSPHOLIPID-BINDING PROTEIN,275,31,octyl beta-D-glucopyranoside
BOG,REPLICATION,275,31,octyl beta-D-glucopyranoside
BOG,PROTEASE INHIBITOR,275,31,octyl beta-D-glucopyranoside
BOG,PHOTOSYNTHESIS,275,31,octyl beta-D-glucopyranoside
BOG,HORMONE,275,31,octyl beta-D-glucopyranoside
BOG,DNA BINDING PROTEIN,275,31,octyl beta-D-glucopyranoside
BOG,NUCLEAR PROTEIN,275,31,octyl beta-D-glucopyranoside
BOG,BIOSYNTHETIC PROTEIN,275,31,octyl beta-D-glucopyranoside
BOG,LYASE,275,31,octyl beta-D-glucopyranoside
BOG,CELL INVASION,275,31,octyl beta-D-glucopyranoside
C8E,TRANSPORT PROTEIN,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,OXIDOREDUCTASE,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,STRUCTURAL PROTEIN,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,MEMBRANE PROTEIN,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,APOPTOSIS,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,HYDROLASE,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,PROTEIN TRANSPORT,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,MEMBRANE,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,LIPID TRANSPORT,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,INTEGRAL MEMBRANE PROTEIN PORIN,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,CELL INVASION,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,INTEGRAL MEMBRANE PROTEIN,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,ISOMERASE,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,TRANSMEMBRANE PROTEIN,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,OUTER MEMBRANE,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,UNKNOWN FUNCTION,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
C8E,METAL TRANSPORT,145,17,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE
DMU,TRANSPORT PROTEIN,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,TRANSLATION,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,OXIDOREDUCTASE,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,CELL ADHESION,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,HYDROLASE,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,STRUCTURAL PROTEIN,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,MEMBRANE PROTEIN,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,METAL TRANSPORT,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,TRANSFERASE,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
DMU,TRANSPORT,67,10,DECYL-BETA-D-MALTOPYRANOSIDE
LP5,ANTIBIOTIC,12,6,"(R)-((2R,3S,4R,5R,6R)-3-HYDROXY-2-(HYDROXYMETHYL)-5-((R)-3-HYDROXYTETRADECANAMIDO)-6-(PHOSPHONOOXY)TETRAHYDRO-2H-PYRAN-4-YL) 3-HYDROXYTETRADECANOATE"
LP5,HYDROLASE,12,6,"(R)-((2R,3S,4R,5R,6R)-3-HYDROXY-2-(HYDROXYMETHYL)-5-((R)-3-HYDROXYTETRADECANAMIDO)-6-(PHOSPHONOOXY)TETRAHYDRO-2H-PYRAN-4-YL) 3-HYDROXYTETRADECANOATE"
LP5,IMMUNE SYSTEM,12,6,"(R)-((2R,3S,4R,5R,6R)-3-HYDROXY-2-(HYDROXYMETHYL)-5-((R)-3-HYDROXYTETRADECANAMIDO)-6-(PHOSPHONOOXY)TETRAHYDRO-2H-PYRAN-4-YL) 3-HYDROXYTETRADECANOATE"
LP5,LIPID BINDING PROTEIN,12,6,"(R)-((2R,3S,4R,5R,6R)-3-HYDROXY-2-(HYDROXYMETHYL)-5-((R)-3-HYDROXYTETRADECANAMIDO)-6-(PHOSPHONOOXY)TETRAHYDRO-2H-PYRAN-4-YL) 3-HYDROXYTETRADECANOATE"
LP5,BIOSYNTHETIC PROTEIN,12,6,"(R)-((2R,3S,4R,5R,6R)-3-HYDROXY-2-(HYDROXYMETHYL)-5-((R)-3-HYDROXYTETRADECANAMIDO)-6-(PHOSPHONOOXY)TETRAHYDRO-2H-PYRAN-4-YL) 3-HYDROXYTETRADECANOATE"
LP5,MEMBRANE PROTEIN,12,6,"(R)-((2R,3S,4R,5R,6R)-3-HYDROXY-2-(HYDROXYMETHYL)-5-((R)-3-HYDROXYTETRADECANAMIDO)-6-(PHOSPHONOOXY)TETRAHYDRO-2H-PYRAN-4-YL) 3-HYDROXYTETRADECANOATE"
STE,ANTIBIOTIC,55,20,STEARIC ACID
STE,HYDROLASE,55,20,STEARIC ACID
STE,BIOSYNTHETIC PROTEIN,55,20,STEARIC ACID
STE,IMMUNE SYSTEM,55,20,STEARIC ACID
STE,LYASE,55,20,STEARIC ACID
STE,OXIDOREDUCTASE,55,20,STEARIC ACID
STE,LIPID BINDING PROTEIN,55,20,STEARIC ACID
STE,VIRUS,55,20,STEARIC ACID
STE,TOXIN,55,20,STEARIC ACID
STE,TRANSPORT PROTEIN,55,20,STEARIC ACID
STE,PROTEIN BINDING,55,20,STEARIC ACID
STE,MEMBRANE PROTEIN,55,20,STEARIC ACID
STE,TRANSCRIPTION,55,20,STEARIC ACID
STE,VIRAL PROTEIN,55,20,STEARIC ACID
STE,PLASMA PROTEIN,55,20,STEARIC ACID
STE,LIPID TRANSPORT,55,20,STEARIC ACID
STE,HORMONE,55,20,STEARIC ACID
STE,STRUCTURAL PROTEIN,55,20,STEARIC ACID
STE,METAL BINDING PROTEIN,55,20,STEARIC ACID
STE,TRANSCRIPTION REGULATOR,55,20,STEARIC ACID
TZD,LYASE,34,3,"2-{3-[(4-AMINO-2-METHYLPYRIMIDIN-5-YL)METHYL]-4-METHYL-2-OXO-2,3-DIHYDRO-1,3-THIAZOL-5-YL}ETHYL TRIHYDROGEN
DIPHOSPHATE"
TZD,TRANSFERASE,34,3,"2-{3-[(4-AMINO-2-METHYLPYRIMIDIN-5-YL)METHYL]-4-METHYL-2-OXO-2,3-DIHYDRO-1,3-THIAZOL-5-YL}ETHYL TRIHYDROGEN
DIPHOSPHATE"
TZD,OXIDOREDUCTASE,34,3,"2-{3-[(4-AMINO-2-METHYLPYRIMIDIN-5-YL)METHYL]-4-METHYL-2-OXO-2,3-DIHYDRO-1,3-THIAZOL-5-YL}ETHYL TRIHYDROGEN
DIPHOSPHATE"
MRD,CELL CYCLE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,ISOMERASE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,VIRAL PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,IMMUNE SYSTEM,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,TRANSCRIPTION REGULATOR,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,OXIDOREDUCTASE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,HYDROLASE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,GENE REGULATION,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,SPLICING,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,PROTEIN TRANSPORT,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,ALLERGEN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,TRANSFERASE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,PROTEIN BINDING,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,PLANT PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,APOPTOSIS,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,METAL BINDING PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,ANTIMICROBIAL PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,RIBOSOMAL PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,TRANSCRIPTION,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,LYASE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,REPLICATION,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,STRUCTURAL PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,RNA BINDING PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,FLUORESCENT PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,PROTEIN FIBRIL,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,SUGAR BINDING PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,TRANSPORT PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,DNA BINDING PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,MOTOR PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,LIGASE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,BIOTIN-BINDING PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,HORMONE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,RECEPTOR,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,CALCIUM-BINDING PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,UNKNOWN FUNCTION,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,STRUCTURAL GENOMICS,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,APOPROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,NUCLEOTIDE BINDING,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,NUCLEOTIDE-BINDING,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,CYTOKINE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,MEMBRANE PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,CELL ADHESION,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,CHAPERONE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,THIOLASE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,SIGNALING PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,HYDROLASE INHIBITOR,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,GLUTAMINE AMIDOTRANSFERASE,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,ANTIBACTERIAL AND ANTITUMOR PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,ENVELOPE GLYCOPROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,BIOSYNTHETIC PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,RNA-BINDING PROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,ELECTRON TRANSPORT,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,FLAVOPROTEIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MRD,TOXIN,425,54,"(4R)-2-METHYLPENTANE-2,4-DIOL"
MYS,LIPID TRANSPORT,36,7,PENTADECANE
MYS,PHOTOSYNTHESIS,36,7,PENTADECANE
MYS,ELECTRON TRANSPORT,36,7,PENTADECANE
MYS,MEMBRANE PROTEIN,36,7,PENTADECANE
MYS,TRANSPORT PROTEIN,36,7,PENTADECANE
MYS,METAL TRANSPORT,36,7,PENTADECANE
MYS,OXIDOREDUCTASE,36,7,PENTADECANE
IPA,TRANSFERASE,616,68,ISOPROPYL ALCOHOL
IPA,PROTEIN TRANSPORT,616,68,ISOPROPYL ALCOHOL
IPA,HYDROLASE,616,68,ISOPROPYL ALCOHOL
IPA,ENDOCYTOSIS,616,68,ISOPROPYL ALCOHOL
IPA,ISOMERASE,616,68,ISOPROPYL ALCOHOL
IPA,OXIDOREDUCTASE,616,68,ISOPROPYL ALCOHOL
IPA,LYASE,616,68,ISOPROPYL ALCOHOL
IPA,VIRAL PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,TOXIN,616,68,ISOPROPYL ALCOHOL
IPA,TRANSCRIPTION,616,68,ISOPROPYL ALCOHOL
IPA,TRANSPORT PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,STRUCTURAL PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,RIBOSOMAL PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,SIGNALING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,ANTITUMOR PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,METAL BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,BIOSYNTHETIC PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,PEPTIDE BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,ONCOPROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,FLAVOPROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,CELL CYCLE,616,68,ISOPROPYL ALCOHOL
IPA,SUGAR BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,METAL TRANSPORT,616,68,ISOPROPYL ALCOHOL
IPA,MOTOR PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,CALCIUM-BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,ALLERGEN,616,68,ISOPROPYL ALCOHOL
IPA,DE NOVO PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,LIPID BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,MEMBRANE PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,IMMUNE SYSTEM,616,68,ISOPROPYL ALCOHOL
IPA,RNA BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,GENE REGULATION,616,68,ISOPROPYL ALCOHOL
IPA,BLOOD CLOTTING,616,68,ISOPROPYL ALCOHOL
IPA,LIGASE,616,68,ISOPROPYL ALCOHOL
IPA,PLANT PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,CYTOKINE,616,68,ISOPROPYL ALCOHOL
IPA,CELL ADHESION,616,68,ISOPROPYL ALCOHOL
IPA,DNA BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,PROTEIN FIBRIL,616,68,ISOPROPYL ALCOHOL
IPA,MICROBIAL PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,FLUORESCENT PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,OXYGEN TRANSPORT,616,68,ISOPROPYL ALCOHOL
IPA,UNKNOWN FUNCTION,616,68,ISOPROPYL ALCOHOL
IPA,NUCLEAR PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,OXYGEN BINDING,616,68,ISOPROPYL ALCOHOL
IPA,PROTEIN BINDING,616,68,ISOPROPYL ALCOHOL
IPA,CHAPERONE,616,68,ISOPROPYL ALCOHOL
IPA,IRON-BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,SH2-DOMAIN,616,68,ISOPROPYL ALCOHOL
IPA,OXYGEN STORAGE,616,68,ISOPROPYL ALCOHOL
IPA,STRUCTURAL GENOMICS,616,68,ISOPROPYL ALCOHOL
IPA,HEME-BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,RECOMBINATION,616,68,ISOPROPYL ALCOHOL
IPA,GROWTH FACTOR,616,68,ISOPROPYL ALCOHOL
IPA,SERINE PROTEASE,616,68,ISOPROPYL ALCOHOL
IPA,GLYCOSIDASE,616,68,ISOPROPYL ALCOHOL
IPA,DNA INTEGRATION,616,68,ISOPROPYL ALCOHOL
IPA,AMINO ACID DEHYDROGENASE,616,68,ISOPROPYL ALCOHOL
IPA,TRANSCRIPTION REGULATION,616,68,ISOPROPYL ALCOHOL
IPA,REPLICATION,616,68,ISOPROPYL ALCOHOL
IPA,CONTRACTILE PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,TRANSCRIPTION REGULATOR,616,68,ISOPROPYL ALCOHOL
IPA,CHOLINE-BINDING PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,CELL INVASION,616,68,ISOPROPYL ALCOHOL
IPA,CARBOHYDRATE,616,68,ISOPROPYL ALCOHOL
IPA,ANTIMICROBIAL PROTEIN,616,68,ISOPROPYL ALCOHOL
IPA,APOPTOSIS,616,68,ISOPROPYL ALCOHOL
IPA,STREPTAVIDIN PEPTIDE 11101 COMPLEX,616,68,ISOPROPYL ALCOHOL
MTX,OXIDOREDUCTASE,63,7,METHOTREXATE
MTX,TRANSFERASE,63,7,METHOTREXATE
MTX,HYDROLASE,63,7,METHOTREXATE
MTX,STRUCTURAL PROTEIN,63,7,METHOTREXATE
MTX,IMMUNE SYSTEM,63,7,METHOTREXATE
MTX,ANTIMICROBIAL PROTEIN,63,7,METHOTREXATE
MTX,METHYLTRANSFERASE,63,7,METHOTREXATE
DHY,OXIDOREDUCTASE,10,3,"2-(3,4-DIHYDROXYPHENYL)ACETIC ACID"
DHY,DIOXYGENASE,10,3,"2-(3,4-DIHYDROXYPHENYL)ACETIC ACID"
DHY,ANTIBIOTIC RESISTANCE,10,3,"2-(3,4-DIHYDROXYPHENYL)ACETIC ACID"
P6G,OXIDOREDUCTASE,374,48,HEXAETHYLENE GLYCOL
P6G,HYDROLASE,374,48,HEXAETHYLENE GLYCOL
P6G,LYASE,374,48,HEXAETHYLENE GLYCOL
P6G,TRANSFERASE,374,48,HEXAETHYLENE GLYCOL
P6G,LIPID BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,RNA BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,HEME BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,TRANSPORT PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,SIGNALING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,IMMUNE SYSTEM,374,48,HEXAETHYLENE GLYCOL
P6G,SUGAR BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,STRUCTURAL PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,COPPER-BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,CIRCADIAN CLOCK PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,SPLICING,374,48,HEXAETHYLENE GLYCOL
P6G,PROTEIN BINDING,374,48,HEXAETHYLENE GLYCOL
P6G,PROTEIN TRANSPORT,374,48,HEXAETHYLENE GLYCOL
P6G,ISOMERASE,374,48,HEXAETHYLENE GLYCOL
P6G,MEMBRANE PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,TRANSCRIPTION,374,48,HEXAETHYLENE GLYCOL
P6G,BIOTIN-BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,UNKNOWN FUNCTION,374,48,HEXAETHYLENE GLYCOL
P6G,CELL ADHESION,374,48,HEXAETHYLENE GLYCOL
P6G,VIRAL PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,ANTIFUNGAL PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,ANTIVIRAL PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,DNA BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,CYTOSOLIC PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,CELL CYCLE,374,48,HEXAETHYLENE GLYCOL
P6G,RECOMBINATION,374,48,HEXAETHYLENE GLYCOL
P6G,IMMUNOSUPPRESSANT,374,48,HEXAETHYLENE GLYCOL
P6G,LIGASE,374,48,HEXAETHYLENE GLYCOL
P6G,MICROBIAL PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,TOXIN,374,48,HEXAETHYLENE GLYCOL
P6G,BLOOD CLOTTING,374,48,HEXAETHYLENE GLYCOL
P6G,HORMONE RECEPTOR,374,48,HEXAETHYLENE GLYCOL
P6G,BIOTIN BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,CHAPERONE,374,48,HEXAETHYLENE GLYCOL
P6G,CHOLINE-BINDING DOMAIN,374,48,HEXAETHYLENE GLYCOL
P6G,BIOSYNTHETIC PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,METAL BINDING PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,LIPID TRANSPORT,374,48,HEXAETHYLENE GLYCOL
P6G,SIGNALING PROTEIN ACTIVATOR,374,48,HEXAETHYLENE GLYCOL
P6G,STRUCTURAL GENOMICS,374,48,HEXAETHYLENE GLYCOL
P6G,ANTIMICROBIAL PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,PLANT PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,FLUORESCENT PROTEIN,374,48,HEXAETHYLENE GLYCOL
P6G,ELECTRON TRANSPORT,374,48,HEXAETHYLENE GLYCOL
4NC,OXIDOREDUCTASE,19,4,4-NITROCATECHOL
4NC,LYASE,19,4,4-NITROCATECHOL
4NC,TRANSFERASE,19,4,4-NITROCATECHOL
4NC,HYDROLASE,19,4,4-NITROCATECHOL
0X3,TRANSCRIPTION,2,2,"N-(3-chloro-5-fluorophenyl)-4-nitro-2,1,3-benzoxadiazol-5-amine"
0X3,PROTEIN TRANSPORT,2,2,"N-(3-chloro-5-fluorophenyl)-4-nitro-2,1,3-benzoxadiazol-5-amine"
DKA,HYDROLASE,28,13,DECANOIC ACID
DKA,TRANSFERASE,28,13,DECANOIC ACID
DKA,DNA BINDING PROTEIN,28,13,DECANOIC ACID
DKA,LIPID BINDING PROTEIN,28,13,DECANOIC ACID
DKA,VIRUS,28,13,DECANOIC ACID
DKA,TRANSPORT PROTEIN,28,13,DECANOIC ACID
